id;created;modify;deleted
1;2020-05-17;2020-05-17T15:56:06;2020-05-17T01:24:16
2;2020-05-17;2020-05-16T16:55:11;2020-05-17T00:58:18
3;2020-05-17;2020-05-17T15:17:51;2020-05-17T00:55:36
4;2020-05-17;2020-05-17T07:19:11;2020-05-16T21:16:12
5;2020-05-16;2020-05-17T00:01:06;2020-05-17T03:43:26
6;2020-05-16;2020-05-17T04:39:29;2020-05-17T13:24:09
7;2020-05-16;2020-05-17T11:32:53;2020-05-17T04:09:19
8;2020-05-17;2020-05-17T06:28:02;2020-05-17T06:33:12
9;2020-05-16;2020-05-17T00:33:33;2020-05-16T18:05:14
10;2020-05-17;2020-05-16T20:07:28;2020-05-17T11:02:14
